Reference,Authors,Title,Year,Status,Status rationale,Notes,Data type,FullTextURL,"Trait,s","Guild,s",No. lines used,Data type,Sex ,Age,Sample Size (per sex if applic),Housing,Diet,Temperature,Wolbachia adjusted,Baseline reference (eg competitor genptype)
,"P Jensen, B Gaertner, K Ward, TFC Mackay",Genotype by Social Environmental Interaction,NA,remove,,,,https://pure.au.dk/ws/files/78885899/Evolution2014_palle.pdf,,,,,,,,,,,,
,"A Xue, H Wang, J Zhu",Dissecting the genetic architecture of startle response in Drosophila melanogaster using,NA,remove,Pre_print,,,http://ibi.zju.edu.cn/bioinplant/temp/Bioinformatics/Drosophila_Startle.pdf,,,,,,,,,,,,
,"AP Dreyer, AW Shingleton",The Effect of Genetic and Environmental Variation on Genital Size in Male Drosophila: Canalized but Developmentally Unstable,2011,don't,email,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0028278,Genital size ,Morphology,40,,male,,10,,cornmeal molasses ,25,No,
,"KA Wilsona, CS Nelsona, JN Becka",Genome-wide analysis reveals distinct genetic mechanisms of diet-dependent lifespan 1 and healthspan in D. melanogaster 2,NA,remove,Pre-print ,,,https://www.biorxiv.org/content/10.1101/153791v2.full.pdf,,,,,,,,,,,,
,"A Fabera, R Lambrechtsa, O Sibona",Modelling in miniature: using Drosophila melanogaster to study human neurodegeneration,NA,remove,Poster-like,,,https://research.rug.nl/files/81645261/Chapter_2.pdf,,,,,,,,,,,,
,A Royer,Ecological Genomics,NA,remove,Poster,,,http://ecogen.k-state.edu/symposia/2015/poster%20invited%20speaker%20abstracts.pdf,,,,,,,,,,,,
,J Rouhana,Toxic love,NA,remove,Descriptive,,,https://research.rug.nl/files/71382252/Chapter_1.pdf,,,,,,,,,,,,
,"M Matos, P Simões, I Fragata, AS Quina, TN Kristensen…",COPING WITH CLIMATE CHANGE: A GENOMIC PERSPECTIVE ON THERMAL ADAPTATION,NA,remove,Frontiers edition,,,https://www.researchgate.net/profile/Mauro-Santos/publication/349521821_COPING_WITH_CLIMATE_CHANGE_A_GENOMIC_PERSPECTIVE_ON_THERMAL_ADAPTATION_Frontiers_in_Genetics_and_Frontiers_in_Ecology_and_Evolution_eBook/links/6034d88a92851c4ed58e58a8/COPING-WITH-CLIMATE-CHANGE-A-GENOMIC-PERSPECTIVE-ON-THERMAL-ADAPTATION-Frontiers-in-Genetics-and-Frontiers-in-Ecology-and-Evolution-eBook.pdf,,,,,,,,,,,,
,"GH Olivares, P Olguın",Clinical Heterogeneity in PD,NA,remove,Unrelated,,,https://www.researchgate.net/profile/Andres-Klein-2/publication/336996468_Modeling_Parkinson's_Disease_Heterogeneity_to_Accelerate_Precision_Medicine/links/5f07a1ffa6fdcc4ca45a4358/Modeling-Parkinsons-Disease-Heterogeneity-to-Accelerate-Precision-Medicine.pdf,,,,,,,,,,,,
,KM Jalvingh,Summarizing Discussion,NA,remove,Unrelated,,,https://research.rug.nl/files/23589254/Complete_thesis.pdf#page=100,,,,,,,,,,,,
,"P Medina, SL Russell, R Corbett-Detig",Deep data mining reveals variable abundance and distribution of microbial reproductive,NA,remove,Used published data,,,https://www.researchgate.net/profile/Shelbi-Russell/publication/333970693_Deep_data_mining_reveals_variable_abundance_and_distribution_of_microbial_reproductive_manipulators_within_and_among_diverse_host_species/links/5d1a4d09a6fdcc2462b71e62/Deep-data-mining-reveals-variable-abundance-and-distribution-of-microbial-reproductive-manipulators-within-and-among-diverse-host-species.pdf,,,,,,,,,,,,
,"P Vergeer, J Ouborg",How Can Genomic Tools Contribute to the Conservation of Endangered Organisms,NA,remove,duplicate,,,https://downloads.hindawi.com/journals/specialissues/134520.pdf,,,,,,,,,,,,
,C Deppmann,19th Annual Neuroscience Symposium Catalyst for Collaboration,NA,remove,talk abstract,,,https://eccsfn.ecu.edu/wp-content/pv-uploads/sites/69/2020/02/Final-Program-2017.pdf,,,,,,,,,,,,
,LLC Sleep Societies,"Associated Professional Sleep Societies, LLC A joint venture of the American Academy of Sleep Medicine and the Sleep Research Society",NA,remove,talk abstract,,,https://sleepmeeting.org/wp-content/uploads/2018/10/abstractbook2013.pdf,,,,,,,,,,,,
,"G Campus, WSU Spokane, WSU Tri-Cities","Carson College of Business 1-8 College of Agricultural, Human & Natural Resources 9-48 College of Arts & Sciences 49-79 College of Education 80-93 …",NA,remove,unrelated,,,http://wsuwp-uploads.s3.amazonaws.com/uploads/sites/1118/2017/03/2017-Academic-Showcase-GPSA-Research-Expo-Participants.pdf,,,,,,,,,,,,
,"PA Williams-Simon, C Posey, S Mitchell, E Ng'oma…",Multiple genetic loci affect place learning and memory performance in,NA,remove,unrelated,,,https://www.biorxiv.org/content/10.1101/580092v2.full.pdf,,,,,,,,,,,,
,"EDA Simpson, N Teets, D Hahn, A Edison",Metabolic mechanisms of cold tolerance in Drosophila melanogaster,NA,remove,poster,,,https://nationalmaglab.org/images/education/searchable_docs/college_early_career/reu/2014/reu2014_edwin_simpson.pdf,,,,,,,,,,,,
,P Vale,Creation and maintenance of Ashworth outcrossed DGRP population,NA,remove,Protocol,,,https://scholar.archive.org/work/l37ddu3gxrdezoggknh2jdarwy/access/wayback/https://www.protocols.io/view/creation-and-maintenance-of-ashworth-outcrossed-dg-zbuf2nw.pdf,,,,,,,,,,,,
,"W Huang, A Massouras, Y Inoue",Natural variation in genome architecture among 205,NA,remove,Can't access,,,https://www.academia.edu/download/46015275/Natural_variation_in_genome_architecture20160528-5441-s8pkxd.pdf,,,,,,,,,,,,
,AB Prados,Estimación de la huella de la selección natural y el efecto Hill-Robertson a lo largo del genoma de Drosophila melanogaster,NA,remove,Not in English,,,https://www.researchgate.net/profile/David-Castellano/publication/305780884_Estimating_the_fingerprint_of_natural_selection_and_the_Hill-Robertson_effect_along_the_genome_of_Drosophila_melanogaster_Spanish/links/57a1b04b08ae5f8b2589c300/Estimating-the-fingerprint-of-natural-selection-and-the-Hill-Robertson-effect-along-the-genome-of-Drosophila-melanogaster-Spanish.pdf,,,,,,,,,,,,
,"H Simianer, JWR Martini, M Erbe, V Wimmer",A framework to incorporate knowledge on gene interaction into genomic relationship,NA,remove,unrelated,,,https://meetings.eaap.org/wp-content/uploads/2015/S11_11.pdf,,,,,,,,,,,,
,"J Wang, B Lovett, RJS Leger",The secretome and chemistry of Metarhizium,2019,remove,Unrelated,,,https://doi.org/10.1016/j.funeco.2018.04.001,,,,,,,,,,,,
Magwire et al (2011) PLOS Genetics,"MM Magwire, F Bayer, CL Webster, C Cao…",Successive Increases in the Resistance of Drosophila to Viral Infection through a Transposon Insertion Followed by a Duplication,2011,have,In list but data not obtained? All possible data obtained (Tom),,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002337,,,,,,,,,,,,
,"A Massouras, SM Waszak, M Albarca-Aguilera…",Genomic Variation and Its Impact on Gene Expression in Drosophila melanogaster,2012,unsure,Gene expression ,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003055,,,,,,,,,,,,
Weber et al (2012) PLOS One,"AL Weber, GF Khan, MM Magwire, CL Tabor…",Genome-Wide Association Analysis of Oxidative Stress Resistance in Drosophila melanogaster,2012,have,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0034745,Survival,Stress reistance,167,,Both,6,24,single ,cornmeal molasses agar,25,yes?,
,"CM McDonnell, D King, JM Comeron, H Li…",Evolutionary toxicogenomics: diversification of the Cyp12d1 and Cyp12d3 genes in Drosophila species,2012,unsure,"Niche, gene-specific ",,,https://link.springer.com/article/10.1007/s00239-012-9506-3,,,,,,,,,,,,
,"K Kamimura, N Maeda","Glypicans and Heparan Sulfate in Synaptic Development, Neural Plasticity, and Neurological Disorders",2021,remove,Review,,,https://www.frontiersin.org/articles/10.3389/fncir.2021.595596/full,,,,,,,,,,,,
,"JW Fondon III, A Martin, S Richards, RA Gibbs…",Analysis of Microsatellite Variation in Drosophila melanogaster with Population-Scale Genome Sequencing,2012,unsure,Microsattelite variation,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0033036,,,,,,,,,,,,
,"R Ravazzolo, R Bocciardi","Genomic Context and Mechanisms of the ACVR1 Mutation in Fibrodysplasia Ossificans Progressiva. Biomedicines 2021, 9, 154",2021,remove,Review,,,http://www.fopitalia.it/files/Pubblicazione-Ravazzolo-Bocciardi-2021.pdf,,,,,,,,,,,,
,"NR Garud, PW Messer, DA Petrov",Detection of hard and soft selective sweeps from Drosophila melanogaster population genomic data,2021,remove,Modelling based on Mackay 2012 data,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1009373,,,,,,,,,,,,
,"SE Allen, GT Koreman, A Sarkar, B Wang…",Versatile CRISPR/Cas9-mediated mosaic analysis by gRNA-induced crossing-over for unmodified genomes,2021,remove,F1 Cross used,,,"DGRP, Drosophila Genetic Reference Panel",,,,,,,,,,,,
Jordan et al (2012) PLOS One,"KW Jordan, KL Craver, MM Magwire, CE Cubilla…",Genome-Wide Association for Sensitivity to Chronic Oxidative Stress in Drosophila melanogaster,2012,have,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0038722,"Startle reponse, negative geotaxis",Stress resistance,192,,Both,13-16,30,,cornmeal molasses agar,,,
,"D Rajawat, H Kumar, KA Saravanan, K Kaisa…",Cinderella of genetics (Drosophila melanogaster): Population genetics to genomics,2021,remove,Review,,,https://www.researchgate.net/profile/Divya-Rajawat/publication/349809725_Cinderella_of_genetics_Drosophila_melanogaster_Population_genetics_to_genomics/links/604206c5a6fdcc9c78124a09/Cinderella-of-genetics-Drosophila-melanogaster-Population-genetics-to-genomics.pdf,,,,,,,,,,,,
Richardson (2012) PLOS Genetics,"MF Richardson, LA Weinert, JJ Welch…",Population Genomics of the Wolbachia Endosymbiont in Drosophila melanogaster,2012,have,,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003129,,Wolbachia ,176,,,,20,,,,,
Magwire et al (2012) PLOS Genetics,"MM Magwire, DK Fabian, H Schweyen, C Cao…",Genome-Wide Association Studies Reveal a Simple Genetic Basis of Resistance to Naturally Coevolving Viruses in Drosophila melanogaster,2012,have,,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003057,Survival,Viral resitance ,185,,Both,,8,mixed,cornmeal agar ,,,
,J Amstutz,CLUSTER-BASED ANALYSIS OF RETINITIS PIGMENTOSA CANDIDATE MODIFIERS USING DROSOPHILA EYE SIZE AND GENE EXPRESSION DATA,2021,remove,Used published data (Chow 2016 and Huang 2015),,,https://scholar.archive.org/work/i55x3wqa5jhrjhowhkjpq7kvvi/access/wayback/https://s3-eu-west-1.amazonaws.com/pstorage-purdue-258596361474/27807975/ResearchReportThesis.pdf,,,,,,,,,,,,
,"EW Wice, JB Saltz",Selection on heritable social network positions is context-dependent in Drosophila melanogaster,2021,remove,F1 Cross used,,,Open Access,,,,,,,,,,,,
,"A Montigny, P Tavormina, C Duboe, H San Clémente…",Drosophila primary microRNA-8 encodes a microRNA-encoded peptide acting in parallel of miR-8,2021,remove,Cross used,,,… Drosophila primary microRNA-8 encodes a microRNA-encoded peptide acting in parallel of miR-8 …,,,,,,,,,,,,
,"F Schlamp, SYN Delbare, AM Early…",Dense time-course gene expression profiling of the Drosophila melanogaster innate immune response,2021,remove,F1 Cross used,,,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-021-07593-3,,,,,,,,,,,,
,"HE Davis, A Cheslock, HA MacMillan",Chill coma onset and recovery fail to reveal true variation in thermal performance among populations of Drosophila melanogaster,2021,remove,Unrelated,,,Open Access,,,,,,,,,,,,
,"P Lasko, K Lüthy",Investigating rare and ultrarare epilepsy syndromes with Drosophila models,2021,remove,Review,,,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7894260/,,,,,,,,,,,,
,"JA Siva-Jothy, PF Vale",Dissecting genetic and sex-specific sources of host heterogeneity in pathogen shedding and spread,2021,remove,Insufficient lines ,10 lines only,,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1009196,,,,,,,,,,,,
,"K Tasman, SA Rands, JJL Hodge",The Power of Drosophila melanogaster for Modeling Neonicotinoid Effects on Pollinators and Identifying Novel Mechanisms,2021,remove,Review,,,https://www.frontiersin.org/articles/10.3389/fphys.2021.659440/full?utm_source=dlvr.it&utm_medium=twitter,,,,,,,,,,,,
,"CP Stelzer, M Pichler, A Hatheuer","Linking genome size variation to population phenotypic variation within the rotifer, Brachionus asplanchnoidis",2021,remove,Unrelated,,,https://www.nature.com/articles/s42003-021-02131-z,,,,,,,,,,,,
Jumbo-Lucioni et al (2012) BMC Genomics,"P Jumbo-Lucioni, S Bu, ST Harbison, JC Slaughter…",Nuclear genomic control of naturally occurring variation in mitochondrial function in Drosophila melanogaster,2012,have,In list but data not obtained? Data obtained (Tom),,,https://link.springer.com/article/10.1186/1471-2164-13-659,Mitochondrial readouts ,Physiology ,40,,Both,3-5,140,Single,cornmeal molasses yeast agar,25,,
,B.M. Baker,Genetic basis of variation in cocaine and methamphetamine consumption in outbred populations of Drosophila melanogaster,2021,remove,Outbred,,,https://doi.org/10.1073/pnas.2104131118,,,,,,,,,,,,
,"RS Linheiro, CM Bergman",Whole Genome Resequencing Reveals Natural Target Site Preferences of Transposable Elements in Drosophila melanogaster,2012,unsure,TE insertion using Mackay 2012,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0030008,,,,,,,,,,,,
Mackay et al (2012) Nature,"TFC Mackay, S Richards, EA Stone, A Barbadilla…",The Drosophila melanogaster Genetic Reference Panel,2012,have,,,,https://www.nature.com/articles/nature10811,,,,,,,,,cornmeal molasses yeast agar,25,,
,"Adam J. Reddiex, Thomas P. Gosden, Russell Bonduriansky, Stephen F. Chenoweth",Sex-Specific Fitness Consequences of Nutrient Intake and the Evolvability of Diet Preferences,2013,don't,email,,,https://doi.org/10.1086/670649,Fitness,Dietary ?,,,,,,,cornmeal yeasr,25,No,
"Chow, Wolfner and Clark (2013) Genetics","Clement Y. Chow, Mariana F. Wolfner, Andrew G. Clark",Large Neurological Component to Genetic Differences Underlying Biased Sperm Use in Drosophila,2013,have,,,,https://doi.org/10.1534/genetics.112.146357,Sperm competetion and remating ,"?, behaviours",39,mean,Female,4-7,30,20-30,"agar,dextrose,yeast",24,No,
,"Julie M. Cridland, Stuart J. Macdonald, Anthony D. Long, Kevin R. Thornton",Abundance and Distribution of Transposable Elements in Two Drosophila QTL Mapping Resources,2013,unsure,,,,https://doi.org/10.1093/molbev/mst129,,,,,,,,,,,,
