Trait,V(G),V(e),Vp,V(G)/Vp,SE_V(G),SE_V(e),SE_Vp,SE_V(G)/Vp,Sex,Trait guild,Trait description,Reference
1-Methyladenosine.high.yeast.f,0.15,0.71,0.85,0.17,0.17,0.33,0.18,0.23,Female,Metabolome,Mean relative 1-Methyladenosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
1-Methyladenosine.low.yeast.f,0.07,0.85,0.93,0.08,0.15,0.31,0.18,0.17,Female,Metabolome,Mean relative 1-Methyladenosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
1-Methylguanosine.high.yeast.f,0.05,0.9,0.95,0.05,0.15,0.31,0.18,0.16,Female,Metabolome,Mean relative 1-Methylguanosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
1-Methylguanosine.low.yeast.f,0.02,0.97,0.98,0.02,0.14,0.3,0.18,0.15,Female,Metabolome,Mean relative 1-Methylguanosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
1_3-Methylhistidine.high.yeast.f,0.2,0.59,0.79,0.26,0.16,0.32,0.17,0.25,Female,Metabolome,Mean relative phenylalanine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
1_3-Methylhistidine.low.yeast.f,0.16,0.68,0.84,0.19,0.17,0.33,0.18,0.23,Female,Metabolome,Mean relative phenylalanine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
13-HODE.high.yeast.f,0.46,0,0.46,1,0.13,0.22,0.11,0.48,Female,Metabolome,Mean relative 13-HODE concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
13-HODE.low.yeast.f,0.03,0.94,0.97,0.03,0.16,0.34,0.19,0.17,Female,Metabolome,Mean relative 13-HODE concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
2-Hydroxyglutarate.high.yeast.f,0.15,0.71,0.85,0.17,0.17,0.33,0.18,0.22,Female,Metabolome,Mean relative 2-Hydroxyglutarate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
2-Hydroxyglutarate.low.yeast.f,0,1.25,1.25,0,0.22,0.44,0.25,0.17,Female,Metabolome,Mean relative 2-Hydroxyglutarate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
2-Phosphoglyceric.acid.high.yeast.f,0,1.03,1.03,0,0.21,0.43,0.24,0.2,Female,Metabolome,Mean relative 2-Phosphoglyceric Acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
2-Phosphoglyceric.acid.low.yeast.f,0,1.11,1.11,0,0.18,0.37,0.21,0.16,Female,Metabolome,Mean relative 2-Phosphoglyceric Acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
2.3-butanedione.olfactory.attraction.f,0,1.2,1.2,0,0.33,0.68,0.36,0.28,Female,Sensory,"Attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour"
2.3-butanedione.olfactory.attraction.m,0.04,0.93,0.97,0.04,0.21,0.44,0.24,0.23,Male,Sensory,"Attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour"
2.3-butanedione.olfactory.latency.30.percentile.f,0,1.24,1.24,0,0.28,0.58,0.31,0.23,Female,Sensory,"Median latency (seconds) to achieve 30% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate a greater ability to detect and respond to the odorant.","Brown et al (2013) Genes, Brain and Behaviour"
2.3-butanedione.olfactory.latency.30.percentile.m,0.43,0,0.43,1,0.15,0.26,0.13,0.6,Male,Sensory,"Median latency (seconds) to achieve 30% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate a greater ability to detect and respond to the odorant.","Brown et al (2013) Genes, Brain and Behaviour"
2.3-butanedione.olfactory.latency.90.percentile.f,0.16,0.7,0.86,0.18,0.21,0.42,0.23,0.29,Female,Sensory,"Median latency (seconds) to achieve 90% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate faster habituation to the odorant.","Brown et al (2013) Genes, Brain and Behaviour"
2.3-butanedione.olfactory.latency.90.percentile.m,0.43,0.13,0.56,0.76,0.17,0.3,0.15,0.47,Male,Sensory,"Median latency (seconds) to achieve 90% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate faster habituation to the odorant.","Brown et al (2013) Genes, Brain and Behaviour"
2.3-butanedione.olfactory.response.intensity.f,0.25,0.51,0.76,0.33,0.16,0.31,0.17,0.27,Female,Sensory,"Strongest observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour"
2.3-butanedione.olfactory.response.intensity.m,0.41,0.15,0.56,0.73,0.15,0.28,0.14,0.43,Male,Sensory,"Strongest observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour"
2.3-butanedione.olfactory.strength.attraction.f,0.06,0.91,0.96,0.06,0.26,0.52,0.28,0.28,Female,Sensory,"Strength of attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour"
2.3-butanedione.olfactory.strength.attraction.m,0.3,0.37,0.68,0.45,0.22,0.43,0.22,0.46,Male,Sensory,"Strength of attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour"
3-Hydroxybutyric.acid.high.yeast.f,0.39,0.25,0.64,0.6,0.18,0.33,0.16,0.42,Female,Metabolome,Mean relative 3-Hydroxybutyric Acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
3-Hydroxybutyric.acid.low.yeast.f,0,1.04,1.04,0,0.2,0.41,0.23,0.19,Female,Metabolome,Mean relative 3-Hydroxybutyric Acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
3-Hydroxykynurenine.high.yeast.f,0.12,0.75,0.87,0.14,0.13,0.27,0.16,0.17,Female,Metabolome,Mean relative 3-Hydroxykynurenine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
3-Hydroxykynurenine.low.yeast.f,0.06,0.88,0.94,0.06,0.14,0.3,0.17,0.16,Female,Metabolome,Mean relative 3-Hydroxykynurenine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
4-Pyridoxic.acid.high.yeast.f,0,1.16,1.16,0,0.22,0.45,0.25,0.19,Female,Metabolome,Mean relative 4-Pyridoxic acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
4-Pyridoxic.acid.low.yeast.f,0.11,0.78,0.89,0.12,0.18,0.36,0.19,0.22,Female,Metabolome,Mean relative 4-Pyridoxic acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
5-Aminovalerate.high.yeast.f,0,1,1,0,0.14,0.29,0.17,0.14,Female,Metabolome,Mean relative 5-Aminovalerate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
5-Aminovalerate.low.yeast.f,0.21,0.57,0.78,0.27,0.14,0.27,0.15,0.22,Female,Metabolome,Mean relative 5-Aminovalerate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
abdomen.length.18C.f,0.23,0.55,0.77,0.29,0.15,0.28,0.15,0.24,Female,Morphological,"Mean adult abdomen length, when reared at 18C. Higher values indicate larger flies.","Lafuente, Duneau and Beldade (2018) PLOS Genetics"
abdomen.length.28C.f,0,1.1,1.1,0,0.18,0.37,0.21,0.16,Female,Morphological,"Mean adult abdomen length, when reared at 28C. Higher values indicate larger flies.","Lafuente, Duneau and Beldade (2018) PLOS Genetics"
abdomen.length.thermal.plasticity.f,0,1.03,1.03,0,0.14,0.29,0.17,0.13,Female,Morphological,"Flies were reared at 18C and 28C, after which adult abdomen lengths were measured. Reaction norms for each DGRP line were calculated using the linear model lm (Size ~ Temperature). The absolute value of the slope is a measurement of thermal sensitivity, describing the magnitude of the plastic response to temperature. Higher values indicate greater thermal plasticity.","Lafuente, Duneau and Beldade (2018) PLOS Genetics"
acclimated.acute.cold.exposure.resistance.18C.f,0,1.03,1.03,0,0.17,0.36,0.21,0.17,Female,Physiological,"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS
acclimated.acute.cold.exposure.resistance.18C.m,0.03,0.97,1,0.03,0.16,0.33,0.19,0.16,Male,Physiological,"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS
acclimated.acute.cold.exposure.resistance.25C.f,0,1.02,1.02,0,0.16,0.33,0.19,0.15,Female,Physiological,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS
acclimated.acute.cold.exposure.resistance.25C.m,0,1.19,1.19,0,0.26,0.54,0.29,0.22,Male,Physiological,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS
