Reference,Trait,# lines measured,Sex,Trait description,Authors,Title,Year,FullTextURL,Age,Sample Size (per sex if applic),Housing,Diet,Temperature,Notes
Adebambo et al (2020) Frontiers in Genetics,p-xylene.susceptibility,143,Pooled,Mean difference in larval viability between control and p-xylene-treated (concentration 1.068mM) first instar larvae after 14 days of development. P-xylene is an aromatic hydrocarbon associated with gasoline and diesel-powered engine emissions. Higher values indicate a greater negative effect of P-xylene on larval viability.,"TH Adebambo, DT Fox, AA Otitoloju",Toxicological Study and Genetic Basis of BTEX Susceptibility in Drosophila melanogaster,2020,https://www.frontiersin.org/articles/10.3389/fgene.2020.594179/full?&utm_source=Email_to_authors_&utm_medium=Email&utm_content=T1_11.5e1_author&utm_campaign=Email_publication&field=&journalName=Frontiers_in_Genetics&id=594179,NA,75,NA,molasses medium,25,Mean difference between control and treated
Ahlers et al (2019) Cell Reports,kujin.virus.resistance.f,86,Female,Mean survival after infection with the Kunjin subtype of the West Nile Virus. Calculated as the log(hazard ratio). Higher values indicate greater susceptibility to the virus.,"LRH Ahlers, CE Trammell, GF Carrell, S Mackinnon…",Insulin potentiates JAK/STAT signaling to broadly inhibit flavivirus replication in insect vectors,2019,https://www.sciencedirect.com/science/article/pii/S2211124719313294,02-Jul,NA,NA,cornmeal food,25,NA
Akcay (2017) Thesis,starvation.resistance.larvae,129,Pooled,Mean hours survived for larvae subjected to nutrient poor starvation medium (20% sucrose in PBS solution). Higher values indicate greater starvation resistance.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akhund-Zade et al (2017) Journal of Insect Science,virgin.egg.retention.f,90,Female,"Mean unfertilised egg retention time, measured as the number of days before a virgin female laid her first egg. Higher values indicate a longer retention time.",J. Akhund-Zade,The genetic basis of natural variation in drosophila (Diptera: Drosophilidae) virgin egg retention,2017,https://doi.org/10.1093/jisesa/iew094,NA,NA,NA,"6.25% unsulfured molasses, 7.8% cornmeal, 3% yeast, and 1.25% agar",25,NA
Appel et al (2016) Biology Letters,punishment.memory.learning.f,38,Female,"Mean aversion towards an odour flies were trained to associate with the onset of an electric shock. Higher values indicate that flies showed a greater aversion toward the odour, suggesting that they associated the odor with 'punishment'. Higher values also indicate a higher learning score",Appel et al,Independent natural genetic variation of punishment- versus relief-memory,2016,https://doi.org/10.1098/rsbl.2016.0657,NA,NA,NA,NA,NA,NA
Appel et al (2016) Biology Letters,punishment.memory.learning.m,38,Male,"Mean aversion towards an odour flies were trained to associate with the onset of an electric shock. Higher values indicate that flies showed a greater aversion toward the odour, suggesting that they associated the odor with 'punishment'. Higher values also indicate a greater learning score.",Appel et al,Independent natural genetic variation of punishment- versus relief-memory,2016,https://doi.org/10.1098/rsbl.2016.0657,NA,NA,NA,NA,NA,NA
Appel et al (2016) Biology Letters,relief.memory.learning.f,38,Female,"Mean preference for an odor flies were trained to associate with the end of an electric shock. Higher values indicate that flies showed a stronger preference towards the odor, suggesting that they associated the odor with 'relief'. Higher values also indicate a greater learning score.",Appel et al,Independent natural genetic variation of punishment- versus relief-memory,2016,https://doi.org/10.1098/rsbl.2016.0657,NA,NA,NA,NA,NA,NA
Appel et al (2016) Biology Letters,relief.memory.learning.m,38,Male,"Mean preference for an odor flies were trained to associate with the end of an electric shock. Higher values indicate that flies showed a stronger preference towards the odor, suggesting that they associated the odor with 'relief'. Higher values also indicate a greater learning score.",Appel et al,Independent natural genetic variation of punishment- versus relief-memory,2016,https://doi.org/10.1098/rsbl.2016.0657,NA,NA,NA,NA,NA,NA
"Arbuthnott, Levin and Promislow (2016) Journal of Evolutionary Biology",mass.2016.f,9,Female,Mean mass of 4–6 females weighed together in milligrams. Higher values indicate heavier females.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.1-hexanol.f,186,Female,"Mean number of flies that moved away from a cotton wool swab that had been dipped in 1-Hexanol solution. Higher values indicate avoidance of 1-Hexanol, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.1-hexanol.m,186,Male,"Mean number of flies that moved away from a cotton wool swab that had been dipped in 1-Hexanol solution. Higher values indicate avoidance of 1-Hexanol, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.2-heptanone.f,186,Female,"Mean number of flies that moved away from a cotton wool swab that had been dipped in 2-Heptanone solution. Higher values indicate avoidance of 2-Heptanone, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.2-heptanone.m,186,Male,"Mean number of flies that moved away from a cotton wool swab that had been dipped in 2-Heptanone solution. Higher values indicate avoidance of 2-Heptanone, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.2-phenyl.ethyl.alcohol.f,186,Female,"Mean number of flies that moved away from a cotton wool swab that had been dipped in 2-Phenyl ethyl alcohol solution. Higher values indicate avoidance of 2-Phenyl ethyl alcohol, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.2-phenyl.ethyl.alcohol.m,186,Male,"Mean number of flies that moved away from a cotton wool swab that had been dipped in 2-Phenyl ethyl alcohol solution. Higher values indicate avoidance of 2-Phenyl ethyl alcohol, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.acetophenone.f,186,Female,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Acetophenone solution. Higher values indicate avoidance of Acetophenone, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.acetophenone.m,186,Male,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Acetophenone solution. Higher values indicate avoidance of Acetophenone, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.benzaldehyde.2015.f,186,Female,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Benzaldehyde solution. Higher values indicate avoidance of Benzaldehyde, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.benzaldehyde.2015.m,186,Male,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Benzaldehyde solution. Higher values indicate avoidance of Benzaldehyde, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.citral.f,186,Female,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Citral solution. Higher values indicate avoidance of Citral, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.citral.m,186,Male,"Mean number of flies that moved away from a cotton wool swab that had been dipped in Citral solution. Higher values indicate avoidance of Citral, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
Arya et al (2015) Chemical Senses,olfactory.response.D-carvone.f,186,Female,"Mean number of flies that moved away from a cotton wool swab that had been dipped in d-Carvone solution. Higher values indicate avoidance of d-Carvone, lower values indicate attraction.",Arya et al,The Genetic Basis for Variation in Olfactory Behavior in Drosophila melanogaster,2015,https://doi.org/10.1093/chemse/bjv001,04-Aug,10,NA,NA,NA,NA
